Student_ID,Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100)
S2735,82,30,34,8,2,57
S2736,84,31,29,6,3,55
S2737,79,40,28,8,3,67
S2738,81,36,29,8,3,64
S2739,79,29,28,6,3,57
S2740,80,32,35,7,3,65
S2741,72,30,23,7,3,51
S2742,91,35,38,8,2,68
S2743,98,29,36,8,3,76
S2744,85,29,32,8,2,54
S2745,83,23,30,5,3,47
S2746,93,28,27,5,4,51
S2747,98,40,40,8,3,81
S2748,82,30,26,7,3,53
S2749,76,29,27,7,3,62
S2750,89,39,35,8,2,77
S2751,90,34,35,9,3,77
S2752,91,40,39,9,4,88
S2753,76,29,30,7,2,51
S2754,87,35,30,8,3,64
S2755,77,26,29,7,3,51
S2756,88,30,30,8,3,69
S2757,85,36,26,7,4,64
S2758,93,36,38,9,3,75
S2759,90,37,40,9,3,88
S2760,87,38,35,9,3,71
S2761,92,39,39,9,3,77
S2762,90,33,25,7,3,65
S2763,87,38,34,10,2,75
S2764,73,33,40,8,3,64
S2765,89,33,28,8,2,58
S2766,94,30,39,8,4,74
S2767,89,31,31,7,2,64
S2768,89,37,34,9,3,77
S2769,80,32,27,7,2,57
S2770,89,30,34,9,3,66
S2771,80,35,25,7,2,58
S2772,71,29,30,7,3,48
S2773,87,33,25,7,3,54
S2774,98,40,35,9,3,85
S2775,71,26,38,6,3,59
S2776,98,36,38,9,3,80
S2777,87,32,34,7,3,67
S2778,69,30,25,7,3,53
S2779,79,32,33,8,4,71
S2780,90,28,32,7,2,55
S2781,93,37,40,9,2,83
S2782,84,35,37,9,2,72
S2783,80,28,39,8,2,58
S2784,96,40,36,9,3,85
S2785,94,34,34,8,3,78
S2786,81,30,35,8,2,64
S2787,82,27,27,7,3,54
S2788,85,30,28,8,3,61
S2789,85,35,33,8,3,64
S2790,82,31,32,6,3,68
S2791,97,25,34,7,3,59
S2792,92,34,39,9,4,80
S2793,79,26,28,6,2,47
S2794,77,32,30,8,3,65
S2795,79,35,31,8,2,60
S2796,93,35,36,8,3,65
S2797,93,37,35,8,4,73
S2798,72,21,29,6,3,55
S2799,100,38,36,8,3,78
S2800,83,29,40,8,3,62
S2801,90,39,36,8,3,69
S2802,95,39,38,8,3,82
S2803,80,31,34,7,2,63
S2804,85,35,30,8,2,57
S2805,90,35,34,8,3,70
S2806,72,27,33,7,2,45
S2807,81,28,31,6,2,54
S2808,85,39,36,8,2,69
S2809,92,30,40,6,3,69
S2810,87,38,33,7,3,77
S2811,85,32,30,7,3,64
S2812,89,34,32,8,2,70
S2813,90,33,36,7,3,62
S2814,84,29,28,7,3,55
S2815,77,33,36,8,3,75
S2816,70,31,28,8,2,52
S2817,82,32,32,7,2,61
S2818,89,33,35,8,2,75
S2819,76,24,26,6,3,47
S2820,76,23,26,5,3,39
S2821,91,32,35,9,4,72
S2822,93,40,34,8,3,78
S2823,94,40,40,8,3,79
S2824,72,27,26,6,2,47
S2825,84,30,36,7,3,66
S2826,91,25,34,7,4,59
S2827,76,29,36,7,3,66
S2828,77,35,27,8,3,62
S2829,83,28,33,5,4,61
S2830,78,23,32,7,2,60
S2831,94,39,30,9,3,70
S2832,86,28,36,7,3,63
S2833,81,30,32,7,2,58
S2834,78,31,29,7,2,60
S2835,87,30,32,7,3,62
S2836,87,33,40,9,3,79
S2837,80,25,29,5,2,48
S2838,84,25,35,6,3,53
S2839,82,38,33,7,2,69
S2840,74,33,31,7,3,65
S2841,87,34,36,9,3,78
S2842,86,32,26,7,2,58
S2843,88,30,35,9,2,61
S2844,91,36,40,8,3,76
S2845,86,32,30,7,3,61
S2846,88,33,25,6,2,54
S2847,85,31,40,8,3,69
S2848,72,25,24,6,2,42
S2849,82,31,36,9,3,64
S2850,91,33,35,8,2,65
S2851,81,27,23,5,2,44
S2852,83,32,40,9,3,83
S2853,83,31,28,6,3,54
S2854,100,29,33,8,3,70
S2855,80,30,19,5,3,46
S2856,72,37,28,9,3,64
S2857,72,21,30,6,1,39
S2858,87,30,34,8,2,65
S2859,79,25,25,6,2,52
S2860,83,35,30,7,3,64
S2861,89,32,30,6,3,63
S2862,91,34,27,7,3,71
S2863,79,28,27,6,2,58
S2864,100,33,40,9,3,78
S2865,98,33,33,8,3,65
S2866,98,35,37,8,3,76
S2867,89,38,36,7,4,77
S2868,87,26,26,6,3,52
S2869,87,34,32,9,2,66
S2870,93,40,37,9,4,88
S2871,71,34,33,7,2,70
S2872,95,37,37,9,4,71
S2873,92,31,31,7,4,66
S2874,88,37,36,9,3,70
S2875,93,40,36,10,2,75
S2876,88,37,27,8,4,74
S2877,79,25,40,7,3,64
S2878,88,31,35,6,3,64
S2879,90,31,35,8,3,69
S2880,79,35,31,8,2,62
S2881,83,26,34,7,2,61
S2882,84,40,31,6,3,58
S2883,80,37,32,8,3,65
S2884,97,33,33,7,3,70
S2885,88,31,34,8,3,68
S2886,83,32,29,7,3,59
S2887,96,32,35,7,4,84
S2888,82,35,29,6,3,59
S2889,58,25,27,6,2,43
S2890,72,30,25,7,4,56
S2891,84,40,31,8,3,76
S2892,93,39,39,9,3,89
S2893,92,29,36,8,3,65
S2894,80,32,31,8,3,63
S2895,86,40,23,8,3,65
S2896,81,29,26,7,3,58
S2897,77,28,28,6,2,53
S2898,94,33,30,7,3,69
S2899,95,33,30,8,3,76
S2900,78,34,31,8,2,53
S2901,87,33,32,8,3,67
S2902,75,25,28,6,3,48
S2903,88,31,37,9,3,78
S2904,90,32,31,6,3,63
S2905,89,29,39,8,3,76
S2906,96,39,40,9,3,86
S2907,88,29,34,8,3,69
S2908,87,37,28,8,3,59
S2909,92,39,33,8,4,81
S2910,83,29,32,7,2,62
S2911,78,27,34,7,2,49
S2912,73,32,29,9,2,61
S2913,88,40,33,9,3,73
S2914,68,32,27,7,3,56
S2915,88,33,34,8,3,73
S2916,84,34,29,7,3,60
S2917,84,40,35,9,3,80
S2918,100,34,32,9,3,78
S2919,70,24,28,7,2,41
S2920,72,34,28,7,3,61
S2921,70,30,32,8,3,61
S2922,80,30,32,8,3,71
S2923,84,34,39,9,2,80
S2924,98,34,40,9,4,80
S2925,71,22,25,6,2,39
S2926,69,24,26,7,3,46
S2927,88,34,28,8,2,59
S2928,94,38,35,8,4,90
S2929,84,33,28,8,3,65
S2930,90,37,33,7,4,76
S2931,76,30,29,6,3,63
S2932,83,34,36,8,3,75
S2933,82,31,27,7,2,55
S2934,100,37,34,7,3,79
S2935,78,28,35,7,2,59
S2936,74,28,27,6,3,51
S2937,83,26,26,5,3,40
S2938,79,37,33,7,3,64
S2939,80,36,34,8,3,65
S2940,73,30,28,7,2,48
S2941,85,27,29,7,3,56
S2942,75,31,33,8,3,60
S2943,100,39,37,9,4,80
S2944,85,40,30,8,3,73
S2945,95,39,31,8,3,73
S2946,73,28,24,6,2,44
S2947,78,27,28,6,3,46
S2948,84,32,33,7,2,63
S2949,76,27,28,6,2,41
S2950,87,39,25,8,3,59
S2951,73,32,33,7,3,65
S2952,100,33,37,9,3,80
S2953,84,29,26,6,3,59
S2954,72,30,24,7,2,49
S2955,97,40,25,7,3,69
S2956,74,28,31,6,3,53
S2957,80,31,28,7,3,64
S2958,90,26,37,8,3,63
S2959,80,30,33,7,3,63
S2960,80,27,25,7,4,51
S2961,72,18,30,5,2,37
S2962,90,31,36,8,2,68
S2963,100,29,40,7,4,77
S2964,91,32,35,8,3,71
S2965,79,29,35,7,3,56
S2966,74,29,31,9,3,60
S2967,76,20,32,7,3,50
S2968,87,35,23,5,3,56
S2969,78,33,30,7,3,63
S2970,85,27,32,7,3,54
S2971,75,26,32,6,1,50
S2972,88,34,31,8,2,61
S2973,89,35,31,8,4,73
S2974,73,23,35,8,2,52
S2975,85,36,31,9,3,74
S2976,86,31,31,6,2,53
S2977,90,35,29,8,2,59
S2978,83,23,23,5,3,46
S2979,96,40,35,9,4,85
S2980,75,23,23,7,2,44
S2981,94,34,39,9,3,79
S2982,91,40,35,9,3,83
S2983,100,37,37,8,2,73
S2984,89,32,30,8,3,63
S2985,92,35,34,8,2,66
S2986,80,31,32,8,2,62
S2987,73,32,26,7,2,52
S2988,93,27,37,7,3,66
S2989,87,27,35,8,2,70
S2990,86,37,33,8,3,66
S2991,70,28,29,7,3,44
S2992,89,32,39,8,3,71
S2993,88,30,25,7,2,49
S2994,97,40,38,9,4,81
S2995,82,31,28,6,2,52
S2996,78,38,27,7,2,57
S2997,78,30,33,9,2,61
S2998,82,29,40,8,3,59
S2999,97,32,38,7,3,64
